,call_failure,total_seconds_calls,total_number_calls,total_number_sms,distinct_call_numbers,customer_value,complains,subs_length,charge_amount,tariff_plan,status,age,Churn
52,13.0,2513.0,63.0,73.17492063492064,26.0,1559.04,0,39,1,1,1,30,0
53,13.0,4258.0,69.0,6.0,37.0,270.985,0,40,1,1,1,15,0
54,6.0,2453.0,61.0,7.0,35.0,144.63,0,40,1,1,1,25,0
55,14.0,3835.0,85.0,37.0,30.0,304.8,0,40,2,2,1,30,0
56,7.0,2420.0,42.0,73.17492063492064,20.0,1258.48,0,40,1,1,1,30,0
57,16.0,9175.0,124.0,149.0,45.0,967.96,0,39,3,1,1,30,0
58,10.0,13833.0,172.0,5.0,46.0,580.2,0,40,1,1,1,30,0
59,10.0,4575.0,86.0,7.0,27.0,214.44,0,40,2,1,1,30,0
60,9.0,5978.0,98.0,12.0,14.0,291.04,0,40,1,1,1,30,0
61,12.0,2298.0,57.0,13.0,19.0,146.2,0,40,1,1,1,30,0
62,28.0,4472.459682539683,69.46063492063492,59.0,34.0,853.12,0,40,4,1,1,30,0
63,7.0,3155.0,30.0,73.17492063492064,10.0,470.9729158730159,0,40,2,1,1,30,0
64,12.0,4472.459682539683,185.0,155.0,32.0,1405.35,0,39,1,1,1,25,0
65,6.0,6560.0,89.0,191.0,28.0,1029.96,0,39,2,1,1,30,0
66,3.0,935.0,17.0,5.0,13.0,65.34,0,39,1,1,1,25,0
67,5.0,770.0,17.0,18.0,10.0,103.48,0,40,1,1,1,30,0
68,3.0,60.0,3.0,5.0,2.0,25.335,1,39,1,1,1,25,1
69,6.0,7568.0,130.0,73.17492063492064,45.0,470.9729158730159,0,39,1,1,1,30,0
70,10.0,11525.0,157.0,16.0,49.0,332.05,0,39,2,2,1,45,0
71,11.0,6778.0,78.0,113.0,39.0,817.02,0,39,2,1,1,25,0
72,26.0,1015.0,50.0,21.0,19.0,126.6,1,35,1,1,1,30,1
73,24.0,10495.0,96.0,6.0,44.0,167.865,1,38,9,2,1,55,0
74,16.0,5878.0,101.0,31.0,26.0,408.555,0,38,2,1,1,25,0
75,4.0,2900.0,25.0,5.0,16.0,137.0,0,36,1,1,1,30,0
76,12.0,3050.0,44.0,14.0,18.0,179.76,0,37,1,1,1,30,1
77,12.0,2328.0,47.0,39.0,33.0,251.0,1,38,1,1,1,30,1
78,3.0,193.0,5.0,5.0,4.0,27.92,0,38,1,1,1,30,1
79,4.0,1728.0,28.0,5.0,8.0,56.4,0,38,1,1,1,45,0
80,6.0,6845.0,100.0,19.0,24.0,132.675,0,35,2,1,1,55,0
81,3.0,688.0,10.0,14.0,6.0,52.45,0,38,1,1,1,45,1
82,3.0,398.0,7.0,9.0,4.0,19.575,0,38,2,1,1,55,0
83,28.0,4472.459682539683,69.46063492063492,5.0,23.50984126984127,759.42,0,33,4,1,1,25,0
84,9.0,7025.0,119.0,73.17492063492064,35.0,1389.76,1,36,4,2,1,30,0
85,5.0,3778.0,85.0,7.0,30.0,182.52,0,38,1,1,1,30,0
86,6.0,1725.0,47.0,43.0,22.0,242.88,0,37,1,1,1,30,0
87,9.0,2840.0,56.0,180.0,25.0,940.32,0,38,1,1,1,25,0
88,7.0,1375.0,39.0,198.0,13.0,848.56,0,29,2,2,1,30,0
89,7.0,1628.0,42.0,35.0,70.0,129.25,0,28,1,1,1,45,0
90,14.0,760.0,28.0,15.0,9.0,91.52,0,29,1,1,1,30,0
91,3.0,885.0,13.0,26.0,5.0,87.45,0,28,1,1,1,45,0
92,13.0,1285.0,35.0,24.0,15.0,167.4,0,27,1,1,1,25,0
93,5.0,3285.0,64.0,13.0,25.0,185.96,0,27,1,1,1,30,0
94,5.0,1755.0,29.0,33.0,16.0,228.78,0,20,1,1,1,25,0
95,19.0,6453.0,144.0,90.0,44.0,701.865,0,19,2,2,1,25,0
96,15.0,8993.0,174.0,78.0,42.0,254.505,0,17,1,1,1,55,0
97,11.0,2913.0,48.0,36.0,21.0,262.44,0,18,4,1,1,30,0
98,5.0,4450.0,43.0,73.17492063492064,12.0,1059.72,0,11,2,1,1,30,0
99,6.0,1548.0,22.0,5.0,9.0,82.8,1,11,2,1,1,30,1
100,5.0,4310.0,68.0,0.0,15.0,197.01,0,36,0,1,1,25,0
101,0.0,258.0,2.0,2.0,2.0,20.7,0,37,0,1,2,25,0
102,7.0,2393.0,57.0,73.17492063492064,22.0,1703.25,0,35,0,1,1,25,0
103,7.0,4138.0,63.0,0.0,33.0,231.055,0,36,0,1,1,15,0
104,0.0,2333.0,55.0,0.0,31.0,131.34,0,36,0,1,1,15,0
105,8.0,3715.0,79.0,27.0,26.0,259.76,0,36,0,1,1,30,0
106,1.0,2300.0,36.0,73.17492063492064,16.0,1213.44,0,36,0,1,1,30,0
107,10.0,9055.0,118.0,139.0,41.0,922.92,0,35,1,1,1,30,0
108,4.0,13713.0,166.0,0.0,42.0,555.16,0,36,0,1,1,30,0
109,4.0,4455.0,80.0,0.0,23.0,181.4,0,36,0,1,1,30,0
110,3.0,5858.0,92.0,2.0,10.0,276.75,0,36,0,1,1,25,0
111,6.0,2178.0,51.0,3.0,15.0,101.16,1,36,0,1,2,30,0
112,22.0,4472.459682539683,69.46063492063492,49.0,30.0,808.08,0,36,2,1,1,30,0
113,1.0,3035.0,24.0,73.17492063492064,6.0,470.9729158730159,0,36,0,1,1,30,0
114,6.0,4472.459682539683,179.0,145.0,28.0,1354.68,0,35,0,1,1,25,0
115,0.0,6440.0,83.0,181.0,24.0,984.92,0,35,0,1,1,30,0
116,0.0,815.0,11.0,0.0,9.0,37.17,0,35,0,1,2,25,0
117,0.0,650.0,11.0,8.0,6.0,65.745,0,36,0,1,2,25,0
118,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,1,2,25,1
119,0.0,7448.0,124.0,73.17492063492064,41.0,470.9729158730159,0,35,0,1,1,25,0
120,4.0,11405.0,151.0,6.0,45.0,486.24,0,35,0,1,1,30,0
121,5.0,6658.0,72.0,103.0,35.0,766.35,0,35,0,1,1,25,0
122,20.0,895.0,44.0,11.0,15.0,91.755,0,31,0,1,2,25,1
123,18.0,10375.0,90.0,0.0,40.0,261.625,0,34,7,1,1,45,0
124,10.0,5758.0,95.0,21.0,22.0,357.885,0,34,0,1,1,25,1
125,0.0,2780.0,19.0,0.0,12.0,111.96,0,32,0,1,1,30,0
126,6.0,2930.0,38.0,4.0,14.0,151.56,0,33,0,1,2,25,1
127,6.0,2208.0,41.0,29.0,29.0,205.96,1,34,0,1,2,30,1
128,0.0,0.0,0.0,0.0,0.0,0.0,1,34,0,1,2,30,1
129,0.0,1608.0,22.0,0.0,4.0,65.2,0,34,0,1,1,30,0
130,0.0,6725.0,94.0,9.0,20.0,192.975,0,31,0,1,1,45,0
131,0.0,568.0,4.0,4.0,2.0,24.3,0,34,0,1,2,45,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,34,0,1,1,55,0
133,22.0,4472.459682539683,69.46063492063492,0.0,23.50984126984127,731.25,0,29,2,1,1,25,0
134,3.0,6905.0,113.0,73.17492063492064,31.0,1512.81,0,32,2,2,1,25,0
135,0.0,3658.0,79.0,0.0,26.0,168.165,0,34,0,1,1,25,0
136,0.0,1605.0,41.0,33.0,18.0,197.84,0,33,0,1,2,30,0
137,3.0,2720.0,50.0,170.0,21.0,889.65,0,34,0,1,1,25,0
138,1.0,1255.0,33.0,188.0,9.0,903.96,0,25,0,2,1,25,0
139,1.0,1508.0,36.0,25.0,66.0,101.1,0,24,0,1,1,45,0
140,8.0,640.0,22.0,5.0,5.0,52.29,0,25,0,1,2,25,0
141,0.0,765.0,7.0,16.0,1.0,59.3,1,24,0,1,2,45,1
142,7.0,1165.0,29.0,14.0,11.0,116.73,0,23,0,1,1,25,0
143,0.0,3165.0,58.0,3.0,21.0,140.92,0,23,0,1,1,30,0
144,0.0,1635.0,23.0,23.0,12.0,178.11,0,16,0,1,1,25,0
145,13.0,6333.0,138.0,80.0,40.0,795.905,0,15,0,2,1,15,0
146,9.0,8873.0,168.0,68.0,38.0,396.025,0,13,0,1,1,45,0
147,5.0,2793.0,42.0,26.0,17.0,217.4,0,14,2,1,1,30,0
148,0.0,4330.0,37.0,73.17492063492064,8.0,1014.68,0,7,0,1,1,30,0
149,0.0,1428.0,16.0,0.0,5.0,57.76,0,7,0,1,1,30,1
150,9.0,4450.0,73.0,15.0,21.0,240.92,0,42,1,1,1,30,0
151,1.0,398.0,7.0,17.0,8.0,84.2,1,43,0,1,2,30,1
152,11.0,2533.0,62.0,73.17492063492064,28.0,1579.8,0,41,1,1,1,30,0
153,11.0,4278.0,68.0,11.0,39.0,299.53,0,42,1,1,1,15,0
154,4.0,2473.0,60.0,12.0,37.0,167.985,0,42,1,1,1,25,0
155,12.0,3855.0,84.0,42.0,32.0,325.56,0,42,2,1,1,30,0
156,5.0,2440.0,41.0,73.17492063492064,22.0,1279.24,0,42,1,1,1,30,0
157,14.0,9195.0,123.0,154.0,47.0,988.72,0,41,3,1,1,30,0
158,8.0,13853.0,171.0,10.0,48.0,600.96,0,42,1,1,1,30,0
159,8.0,4595.0,85.0,12.0,29.0,235.2,0,42,2,1,1,30,0
160,7.0,5998.0,97.0,17.0,16.0,311.8,0,42,1,1,1,30,0
161,10.0,2318.0,56.0,18.0,21.0,166.96,0,42,0,1,2,30,0
162,26.0,4472.459682539683,69.46063492063492,64.0,36.0,873.88,0,42,4,2,1,30,0
163,5.0,3175.0,29.0,73.17492063492064,12.0,470.9729158730159,0,42,2,1,1,30,0
164,10.0,4472.459682539683,184.0,160.0,34.0,1428.705,0,41,1,1,1,25,0
165,4.0,6580.0,88.0,196.0,30.0,1050.72,0,41,2,1,1,30,0
166,1.0,955.0,16.0,10.0,15.0,88.695,0,41,0,1,2,25,0
167,3.0,790.0,16.0,23.0,12.0,124.24,0,42,0,1,2,30,0
168,1.0,80.0,2.0,10.0,4.0,48.69,0,41,0,1,2,25,1
169,4.0,7588.0,129.0,73.17492063492064,47.0,470.9729158730159,0,41,1,1,1,30,0
170,8.0,11545.0,156.0,21.0,51.0,345.025,0,41,2,1,1,45,0
171,9.0,6798.0,77.0,118.0,41.0,840.375,0,41,2,1,1,25,0
172,24.0,1035.0,49.0,26.0,21.0,147.36,1,37,0,1,2,30,1
173,22.0,10515.0,95.0,11.0,46.0,175.65,1,40,9,1,1,55,0
174,14.0,5898.0,100.0,36.0,28.0,431.91,0,40,2,1,1,25,1
175,2.0,2920.0,24.0,10.0,18.0,157.76,0,38,1,1,1,30,0
176,10.0,3070.0,43.0,19.0,20.0,200.52,0,39,0,1,2,30,1
177,10.0,2348.0,46.0,44.0,35.0,271.76,1,40,0,1,2,30,1
178,1.0,213.0,4.0,10.0,6.0,48.68,0,40,0,1,2,30,1
179,2.0,1748.0,27.0,10.0,10.0,69.375,0,40,1,1,1,45,0
180,4.0,6865.0,99.0,24.0,26.0,140.46,0,37,2,1,1,55,0
181,1.0,708.0,9.0,19.0,8.0,65.425,1,40,0,1,2,45,1
182,1.0,418.0,6.0,14.0,6.0,27.36,0,40,2,1,1,55,0
183,26.0,4472.459682539683,69.46063492063492,10.0,23.50984126984127,782.775,0,35,4,1,1,25,0
184,7.0,7045.0,118.0,73.17492063492064,37.0,1586.835,1,38,4,2,1,25,0
185,3.0,3798.0,84.0,12.0,32.0,203.28,0,40,1,1,1,30,0
186,4.0,1745.0,46.0,48.0,24.0,263.64,0,39,0,1,2,30,0
187,7.0,2860.0,55.0,185.0,27.0,963.675,0,40,1,1,1,25,0
188,5.0,1395.0,38.0,203.0,15.0,977.985,0,31,2,2,1,25,0
189,5.0,1648.0,41.0,40.0,23.50984126984127,142.225,0,30,1,1,1,45,0
190,12.0,780.0,27.0,20.0,11.0,112.28,0,31,0,1,2,30,0
191,1.0,905.0,12.0,31.0,7.0,100.425,0,30,0,1,2,45,0
192,11.0,1305.0,34.0,29.0,17.0,190.755,0,29,1,1,1,25,0
193,3.0,3305.0,63.0,18.0,27.0,206.72,0,29,1,1,1,30,0
194,3.0,1775.0,28.0,38.0,18.0,252.135,0,22,1,1,1,25,0
195,17.0,6473.0,143.0,95.0,46.0,725.22,0,21,2,2,1,25,0
196,13.0,9013.0,173.0,83.0,44.0,262.29,0,19,1,1,1,55,0
197,9.0,2933.0,47.0,41.0,23.0,283.2,0,20,4,1,1,30,0
198,3.0,4470.0,42.0,73.17492063492064,14.0,1080.48,0,13,2,1,1,30,0
199,4.0,1568.0,21.0,10.0,11.0,103.56,0,13,2,1,1,30,1
200,7.0,4290.0,69.0,0.0,13.0,196.155,0,34,0,1,1,25,0
201,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,1,2,25,0
202,9.0,2373.0,58.0,73.17492063492064,20.0,1679.895,0,33,0,1,1,25,0
203,9.0,4118.0,64.0,0.0,31.0,230.01,0,34,0,1,1,15,0
204,2.0,2313.0,56.0,0.0,29.0,130.295,0,34,0,1,1,15,0
205,10.0,3695.0,80.0,22.0,24.0,239.0,0,34,0,1,1,30,0
206,3.0,2280.0,37.0,73.17492063492064,14.0,1192.68,0,34,0,1,1,30,0
207,12.0,9035.0,119.0,134.0,39.0,902.16,0,33,1,1,1,30,0
208,6.0,13693.0,167.0,0.0,40.0,554.4,0,34,0,1,1,30,0
209,6.0,4435.0,81.0,0.0,21.0,180.64,0,34,0,1,1,30,0
210,5.0,5838.0,93.0,0.0,8.0,266.895,0,34,0,1,1,25,0
211,8.0,2158.0,52.0,0.0,13.0,88.4,0,34,0,1,2,30,0
212,24.0,4472.459682539683,69.46063492063492,44.0,28.0,787.32,0,34,2,1,1,30,0
213,3.0,3015.0,25.0,73.17492063492064,4.0,470.9729158730159,0,34,0,1,1,30,0
214,8.0,4472.459682539683,180.0,140.0,26.0,1331.325,0,33,0,1,1,25,0
215,2.0,6420.0,84.0,176.0,22.0,964.16,0,33,0,1,1,30,0
216,0.0,795.0,12.0,0.0,7.0,36.315,0,33,0,1,2,25,0
217,1.0,630.0,12.0,3.0,4.0,42.39,0,34,0,1,2,25,0
218,0.0,0.0,0.0,0.0,0.0,0.0,0,33,0,1,2,25,1
219,2.0,7428.0,125.0,73.17492063492064,39.0,470.9729158730159,0,33,0,1,1,25,0
220,6.0,11385.0,152.0,1.0,43.0,465.48,0,33,0,1,1,30,0
221,7.0,6638.0,73.0,98.0,33.0,742.995,0,33,0,1,1,25,0
222,22.0,875.0,45.0,6.0,13.0,68.4,0,29,0,1,2,25,1
223,20.0,10355.0,91.0,0.0,38.0,261.15,0,32,7,1,1,45,0
224,12.0,5738.0,96.0,16.0,20.0,334.53,1,32,0,1,1,25,1
225,0.0,2760.0,20.0,0.0,10.0,111.2,0,30,0,1,1,30,0
226,8.0,2910.0,39.0,0.0,12.0,117.96,1,31,0,1,2,30,1
227,8.0,2188.0,42.0,24.0,27.0,185.2,0,32,0,1,2,30,1
228,0.0,0.0,0.0,0.0,0.0,0.0,1,32,0,1,2,30,1
229,0.0,1588.0,23.0,0.0,2.0,64.44,0,32,0,1,1,30,0
230,2.0,6705.0,95.0,4.0,18.0,180.0,0,29,0,1,1,45,0
231,0.0,0.0,0.0,0.0,0.0,0.0,0,32,0,1,2,45,1
232,0.0,0.0,0.0,0.0,0.0,0.0,0,32,0,1,1,55,0
233,24.0,4472.459682539683,69.46063492063492,0.0,23.50984126984127,730.395,0,27,2,1,1,25,0
234,5.0,6885.0,114.0,73.17492063492064,29.0,1489.455,0,30,2,2,1,25,0
235,1.0,3638.0,80.0,0.0,24.0,167.31,0,32,0,1,1,25,0
236,2.0,1585.0,42.0,28.0,16.0,177.08,0,31,0,1,2,30,0
237,5.0,2700.0,51.0,165.0,19.0,866.295,0,32,0,1,1,25,0
238,3.0,1235.0,34.0,183.0,7.0,880.605,0,23,0,2,1,25,0
239,3.0,1488.0,37.0,20.0,64.0,88.125,0,22,0,1,1,45,0
240,10.0,620.0,23.0,0.0,3.0,28.935,0,23,0,1,2,25,0
241,0.0,0.0,0.0,11.0,0.0,27.5,0,22,0,1,2,45,0
242,9.0,1145.0,30.0,9.0,9.0,93.375,0,21,0,1,1,25,0
243,1.0,3145.0,59.0,0.0,19.0,128.16,0,21,0,1,1,30,0
244,1.0,1615.0,24.0,18.0,10.0,154.755,0,14,0,1,1,25,0
245,15.0,6313.0,139.0,75.0,38.0,767.36,0,13,0,2,1,15,0
246,11.0,8853.0,169.0,63.0,36.0,383.05,0,11,0,1,1,45,0
247,7.0,2773.0,43.0,21.0,15.0,196.64,0,12,2,1,1,30,0
248,1.0,4310.0,38.0,205.0,6.0,993.92,0,5,0,1,1,30,0
249,2.0,1408.0,17.0,0.0,3.0,57.0,0,5,0,1,1,30,1
250,13.0,4630.0,81.0,20.0,23.0,268.44,0,44,1,1,1,30,0
251,5.0,578.0,15.0,22.0,10.0,111.72,0,45,0,1,2,30,0
252,15.0,2713.0,70.0,73.17492063492064,30.0,1607.32,0,43,1,1,1,30,0
253,15.0,4458.0,76.0,16.0,41.0,337.37,0,44,1,1,1,15,0
254,8.0,2653.0,68.0,17.0,39.0,198.945,0,44,1,1,1,25,0
255,16.0,4035.0,92.0,47.0,34.0,353.08,0,44,2,1,1,30,0
256,9.0,2620.0,49.0,73.17492063492064,24.0,1306.76,0,44,1,1,1,30,0
257,18.0,9375.0,131.0,159.0,49.0,1016.24,0,43,3,1,1,30,0
258,12.0,14033.0,179.0,15.0,50.0,628.48,0,44,1,1,1,30,0
259,12.0,4775.0,93.0,17.0,31.0,262.72,0,44,2,1,1,30,0
260,11.0,6178.0,105.0,22.0,18.0,339.32,0,44,1,1,1,30,0
261,14.0,2498.0,64.0,23.0,23.0,194.48,1,44,0,1,2,30,0
262,7.627936507936508,4472.459682539683,69.46063492063492,69.0,38.0,901.4,0,44,4,1,1,30,0
263,9.0,3355.0,37.0,73.17492063492064,14.0,470.9729158730159,0,44,2,1,1,30,0
264,14.0,4472.459682539683,192.0,165.0,36.0,1459.665,0,43,1,1,1,25,0
265,8.0,6760.0,96.0,201.0,32.0,1078.24,0,43,2,1,1,30,0
266,5.0,1135.0,24.0,15.0,17.0,119.655,0,43,0,1,2,25,0
267,7.0,970.0,24.0,28.0,14.0,151.76,0,44,0,1,2,30,0
268,5.0,260.0,10.0,15.0,6.0,79.65,0,43,0,1,2,25,1
269,8.0,7768.0,137.0,73.17492063492064,49.0,470.9729158730159,0,43,1,1,1,30,0
270,12.0,11725.0,164.0,26.0,53.0,362.225,0,43,2,1,1,45,0
271,13.0,6978.0,85.0,123.0,43.0,871.335,0,43,2,1,1,25,0
272,28.0,1215.0,57.0,31.0,23.0,174.88,1,39,0,1,2,30,1
273,26.0,10695.0,103.0,16.0,48.0,185.97,0,42,9,2,1,55,0
274,18.0,6078.0,108.0,41.0,30.0,462.87,0,42,2,1,1,25,0
275,6.0,3100.0,32.0,15.0,20.0,185.28,0,40,1,1,1,30,0
276,14.0,3250.0,51.0,24.0,22.0,228.04,1,41,0,1,2,30,1
277,14.0,2528.0,54.0,49.0,37.0,187.05,1,42,0,1,2,45,1
278,5.0,393.0,12.0,15.0,8.0,76.2,0,42,0,1,2,30,1
279,6.0,1928.0,35.0,15.0,12.0,86.575,0,42,1,1,1,45,0
280,8.0,7045.0,107.0,29.0,28.0,150.78,0,39,2,1,1,55,0
281,5.0,888.0,17.0,24.0,10.0,82.625,0,42,0,1,2,45,1
282,5.0,598.0,14.0,19.0,8.0,37.68,0,42,2,1,1,55,0
283,7.627936507936508,4472.459682539683,69.46063492063492,15.0,23.50984126984127,813.735,1,37,4,1,1,25,0
284,11.0,7225.0,126.0,73.17492063492064,39.0,1438.04,1,40,4,2,1,30,0
285,7.0,3978.0,92.0,17.0,34.0,230.8,0,42,1,1,1,30,0
286,8.0,1925.0,54.0,53.0,26.0,291.16,0,41,0,1,2,30,0
287,11.0,3040.0,63.0,190.0,29.0,994.635,0,42,1,1,1,25,0
288,9.0,1575.0,46.0,208.0,17.0,896.84,0,33,2,2,1,30,0
289,9.0,1828.0,49.0,45.0,23.50984126984127,95.655,0,32,1,1,1,55,0
290,16.0,960.0,35.0,25.0,13.0,139.8,0,33,0,1,2,30,0
291,5.0,1085.0,20.0,36.0,9.0,117.625,0,32,0,1,2,45,0
292,15.0,1485.0,42.0,34.0,19.0,221.715,0,31,1,1,1,25,0
293,7.0,3485.0,71.0,23.0,29.0,234.24,0,31,1,1,1,30,0
294,7.0,1955.0,36.0,43.0,20.0,251.64,0,24,1,1,1,30,0
295,21.0,6653.0,151.0,100.0,48.0,756.18,0,23,2,2,1,25,0
296,17.0,9193.0,181.0,88.0,46.0,272.61,0,21,1,1,1,55,0
297,13.0,3113.0,55.0,46.0,25.0,310.72,0,22,4,1,1,30,0
298,7.0,4650.0,50.0,73.17492063492064,16.0,1108.0,0,15,2,1,1,30,0
299,8.0,1748.0,29.0,15.0,13.0,131.08,1,15,2,1,1,30,1
300,3.0,4110.0,61.0,0.0,11.0,187.695,0,32,0,1,1,25,0
301,0.0,0.0,0.0,0.0,0.0,0.0,0,33,0,1,2,25,0
302,5.0,2193.0,50.0,73.17492063492064,18.0,1648.935,0,31,0,1,1,25,0
303,5.0,3938.0,56.0,0.0,29.0,219.67,0,32,0,1,1,15,0
304,0.0,2133.0,48.0,0.0,27.0,119.955,0,32,0,1,1,15,0
305,6.0,3515.0,72.0,17.0,22.0,237.915,0,32,0,1,1,25,0
306,0.0,2100.0,29.0,73.17492063492064,12.0,1165.16,0,32,0,1,1,30,0
307,8.0,8855.0,111.0,129.0,37.0,874.64,0,31,1,1,1,30,0
308,2.0,13513.0,159.0,0.0,38.0,546.88,0,32,0,1,1,30,0
309,2.0,4255.0,73.0,0.0,19.0,173.12,0,32,0,1,1,30,0
310,1.0,5658.0,85.0,0.0,6.0,258.435,0,32,0,1,1,25,0
311,4.0,1978.0,44.0,0.0,11.0,80.88,0,32,0,1,2,30,0
312,20.0,4472.459682539683,69.46063492063492,39.0,26.0,759.8,0,32,2,1,1,30,0
313,0.0,2835.0,17.0,73.17492063492064,2.0,470.9729158730159,0,32,0,1,1,30,0
314,4.0,4472.459682539683,172.0,135.0,24.0,1300.365,0,31,0,1,1,25,0
315,0.0,6240.0,76.0,171.0,20.0,936.64,0,31,0,1,1,30,0
316,0.0,615.0,4.0,0.0,5.0,27.855,0,31,0,1,2,25,0
317,0.0,450.0,4.0,0.0,2.0,20.43,0,32,0,1,2,25,0
318,0.0,0.0,0.0,0.0,0.0,0.0,0,31,0,1,2,25,1
319,0.0,7248.0,117.0,73.17492063492064,37.0,470.9729158730159,0,31,0,1,1,25,0
320,2.0,11205.0,144.0,0.0,41.0,453.96,0,31,0,1,1,30,0
321,3.0,6458.0,65.0,93.0,31.0,712.035,0,31,0,1,1,25,0
322,18.0,695.0,37.0,1.0,11.0,37.44,1,27,0,1,2,25,1
323,16.0,10175.0,83.0,0.0,36.0,256.45,0,30,7,1,1,45,0
324,8.0,5558.0,88.0,11.0,18.0,303.57,1,30,0,1,1,25,1
325,0.0,2580.0,12.0,0.0,8.0,103.68,0,28,0,1,1,30,0
326,4.0,2730.0,31.0,0.0,10.0,124.245,0,29,0,1,2,25,1
327,4.0,2008.0,34.0,19.0,25.0,157.68,1,30,0,1,2,30,1
328,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,1,2,30,1
